Actions,WIID,Description,Type,Status,Date
,104029943,Verify Account Position,WI1,Open,2021-04-28
,104029925,Research Client Check Copy,WI2,Open,2019-08-31
,104029938,Verify Account Position,WI1,Open,2020-12-08
,104029859,Calculate Client Security Hash,WI5,Open,2023-01-24
,104029871,Generate Yearly Report for Vendor,WI4,Open,2024-07-15
,104029946,Verify Account Position,WI1,Open,2023-08-18
,104029890,Research Client Check Copy,WI2,Open,2020-10-13
,104029860,Calculate Client Security Hash,WI5,Open,2020-01-10
,104029855,Calculate Client Security Hash,WI5,Open,2018-05-31
,104029852,Calculate Client Security Hash,WI5,Open,2019-01-25
,104029932,Verify Account Position,WI1,Open,2018-09-22
,104029935,Verify Account Position,WI1,Open,2023-09-06
,104029924,Research Client Check Copy,WI2,Open,2020-05-06
,104029926,Verify Account Position,WI1,Open,2020-12-17
,104029949,Verify Account Position,WI1,Open,2018-10-22
,104029889,Research Client Check Copy,WI2,Open,2019-08-10
,104029864,Calculate Client Security Hash,WI5,Open,2017-05-22
,104029866,Calculate Client Security Hash,WI5,Open,2020-08-09
,104029940,Verify Account Position,WI1,Open,2023-09-19
,104029931,Verify Account Position,WI1,Open,2018-05-03
,104029863,Calculate Client Security Hash,WI5,Open,2017-03-14
,104029862,Calculate Client Security Hash,WI5,Open,2017-04-06
,104029876,Generate Yearly Report for Vendor,WI4,Open,2018-07-01
,104029893,Research Client Check Copy,WI2,Open,2019-10-25
,104029869,Generate Yearly Report for Vendor,WI4,Open,2020-02-15
,104029878,Process Vendor Invoice,WI3,Open,2017-03-25
,104029927,Verify Account Position,WI1,Open,2022-01-24
,104029915,Research Client Check Copy,WI2,Open,2021-12-01
,104029875,Generate Yearly Report for Vendor,WI4,Open,2023-10-25
,104029881,Process Vendor Invoice,WI3,Open,2017-12-27
,104029958,Verify Account Position,WI1,Open,2020-06-07
,104029933,Verify Account Position,WI1,Open,2018-03-27
,104029883,Process Vendor Invoice,WI3,Open,2019-03-14
,104029918,Research Client Check Copy,WI2,Open,2024-04-06
,104029934,Verify Account Position,WI1,Open,2020-12-21
,104029923,Research Client Check Copy,WI2,Open,2022-08-14
,104029950,Verify Account Position,WI1,Open,2023-10-19
,104029939,Verify Account Position,WI1,Open,2024-10-01
,104029899,Research Client Check Copy,WI2,Open,2021-09-25
,104029880,Process Vendor Invoice,WI3,Open,2020-11-08
,104029857,Calculate Client Security Hash,WI5,Open,2018-04-23
,104029905,Research Client Check Copy,WI2,Open,2018-10-26
,104029908,Research Client Check Copy,WI2,Open,2017-03-20
,104029891,Research Client Check Copy,WI2,Open,2019-01-08
,104029920,Research Client Check Copy,WI2,Open,2018-03-21
,104029945,Verify Account Position,WI1,Open,2020-02-15
,104029953,Verify Account Position,WI1,Open,2022-05-10
,104029929,Verify Account Position,WI1,Open,2017-08-26
,104029952,Verify Account Position,WI1,Open,2018-11-11
,104029912,Research Client Check Copy,WI2,Open,2023-08-24
,104029937,Verify Account Position,WI1,Open,2022-11-04
,104029910,Research Client Check Copy,WI2,Open,2024-01-12
,104029921,Research Client Check Copy,WI2,Open,2023-12-14
,104029851,Calculate Client Security Hash,WI5,Open,2023-01-19
,104029897,Research Client Check Copy,WI2,Open,2021-05-18
,104029873,Generate Yearly Report for Vendor,WI4,Open,2022-05-20
,104029892,Research Client Check Copy,WI2,Open,2020-09-23
,104029948,Verify Account Position,WI1,Open,2019-09-01
,104029928,Verify Account Position,WI1,Open,2024-03-16
,104029853,Calculate Client Security Hash,WI5,Open,2020-07-11
,104029917,Research Client Check Copy,WI2,Open,2018-08-12
